egoid,major1rc_6,major2rc_6,degreeintent_6,majorevent_6
44869,507.0,188.3763440860215,"M.D., D.O., D.D.S., or D.V.M.",no
43516,351.30407523510974,188.3763440860215,,
89411,351.30407523510974,188.3763440860215,,
74285,351.30407523510974,188.3763440860215,,
56527,351.30407523510974,188.3763440860215,,
16819,351.30407523510974,188.3763440860215,,
34591,351.30407523510974,188.3763440860215,,
89972,351.30407523510974,188.3763440860215,,
92552,305.0,188.3763440860215,"Master's Degree (M.A., M.S., MBA, etc.)",yes
73158,306.0,188.3763440860215,"Bachelor's degree (B.A., B.S., etc.)",no
45963,503.0,188.3763440860215,"M.D., D.O., D.D.S., or D.V.M.",yes
22138,507.0,110.0,"M.D., D.O., D.D.S., or D.V.M.",no
90136,351.30407523510974,188.3763440860215,,
46744,351.30407523510974,188.3763440860215,,
77941,302.0,188.3763440860215,"Bachelor's degree (B.A., B.S., etc.)",no
44873,401.0,188.3763440860215,"Bachelor's degree (B.A., B.S., etc.)",no
36540,351.30407523510974,188.3763440860215,,
14527,351.30407523510974,188.3763440860215,,
83005,131.0,113.0,"Bachelor's degree (B.A., B.S., etc.)",no
31439,501.0,188.3763440860215,"Bachelor's degree (B.A., B.S., etc.)",no
21899,302.0,188.3763440860215,"Bachelor's degree (B.A., B.S., etc.)",no
29232,351.30407523510974,188.3763440860215,,
32249,351.30407523510974,188.3763440860215,,
45375,351.30407523510974,188.3763440860215,,
25536,351.30407523510974,188.3763440860215,,
32037,351.30407523510974,188.3763440860215,,
90476,351.30407523510974,188.3763440860215,,
46558,301.0,188.3763440860215,"Bachelor's degree (B.A., B.S., etc.)",no
24016,351.30407523510974,188.3763440860215,,
52277,351.30407523510974,188.3763440860215,,
93699,401.0,188.3763440860215,"Master's Degree (M.A., M.S., MBA, etc.)",yes
36875,406.0,188.3763440860215,"Bachelor's degree (B.A., B.S., etc.)",no
84011,503.0,188.3763440860215,"M.D., D.O., D.D.S., or D.V.M.",no
90646,309.0,188.3763440860215,"Master's Degree (M.A., M.S., MBA, etc.)",yes
88008,303.0,188.3763440860215,"Master's Degree (M.A., M.S., MBA, etc.)",no
88967,351.30407523510974,188.3763440860215,,
